ID	Auteur	No de catalogue	Titre	Date	Technique	Dimensions	Lieu de conservation	Renvoi dans lettre no
#17662	Scholderer		Reh mit Fischen (chevreuil et poissons)	1873				1873_04
#17660	Scholderer		Pfau mit Hasen (paon et lièvre)	1873				1873_04 1873_05
#17908	Fantin		Esquisse pour le portrait de la famille Fitz-James	1867	mine de plomb sur papier beige	19,2 x 25,7 cm	Paris, musée du Louvre, cabinet des Dessins	1867_03 1869_02
#17728	Fantin		Giroflées et cerisier sauvage en fleurs	1876	huile sur toile	47,5 x 43 cm	Collection particulière	1876_05
#17700	Fantin		Copie d'après la Vierge au lapin de Titien (vers 1530)	1870	huile sur toile	50 x 60 cm	non localisé	1879_18
#17563	Scholderer		Zwei kleine Vögel (deux petits oiseaux)	1875	huile sur toile	24,5 x 17,5 cm	Schweinfurt, Museum Georg Schäfer	1875_17 1876_01
#17663	Scholderer		Schnee im Schwarzwald (neige dans la Forêt-Noire)	1873				1873_04
#17661	Scholderer		Zwei kleine Vögel (deux petits oiseaux)	1873				1873_04
#17463	Scholderer	B.1	Kopie nach Ferdinand Bol, Bildnis eines jungen Herren (copie d'après Ferdinand Bol, portrait d'un jeune homme)	1851	huile sur toile	96 x 80 cm	Francfort-sur-le-Main, Städelsches Kunstinstitut	1858_03
#17518	Scholderer	B.102	Zwei grosse Stilleben mit Georginen (Dahlien) I und II (deux grandes natures mortes avec dahlias I et II)	1871			non localisé	1871_02 1871_05
#17519	Scholderer	B.107	The Love Story	1871	huile sur toile	64,4 x 50,5 cm	Collection particulière	1871_05 1871_08
#17520	Scholderer	B.108	Brieflesendes Mädchen (Jeune femme lisant une lettre)	1871	huile sur toile	38,5 x 32 cm	Schweinfurt, Museum Georg Schäfer	1871_05
#17521	Scholderer	B.110a	Szene an der Eisenbahn, zwei Damen und ein Kind mit Hund (Scène sur la voie ferrée, deux dames et un enfant avec un chien)	1872			non localisé	1872_01 1872_02
#17522	Scholderer	B.111a	Szene am Ufer der Themse (scène sur les bords de la Tamise)	1872			non localisé	1872_02
#17523	Scholderer	B.112	Junge Dame in einem Kahn (jeune femme dans une barque)	1872	huile sur carton	31 x 40 cm	Collection particulière	1872_02
#17524	Scholderer	B.117	Birkhahn auf grauem Hintergrund darunter auf weissem Marmor ein Fasan mit einer Ente (coq de bruyère brun et gris tacheté, en dessous un faisan et un canard sur du marbre blanc)	1872			non localisé	1872_04 1873_02
#17525	Scholderer	B.118	Stilleben mit Möve und Raben, darunter auf dem Marmor ein Wildhase (nature morte avec mouette et corbeau, en dessous un lièvre sur du marbre blanc)	1872				1873_02
#17551	Scholderer	B.121	Bildnis der Luise Scholderer (portrait de Louise Scholderer)	1873	huile sur toile	39 x 29 cm	Francfort-sur-le-Main, Städtische Galerie	1873_02
#17549	Scholderer	B.122	Frau Scholderer am Früstücktisch (Madame Scholderer à la table du petit déjeuner)	1872	huile sur toile	56 x 46 cm	Francfort-sur-le-Main, Historisches Museum	1873_02
#17550	Scholderer	B.123	Porträt der Luise Scholderer (portrait de Louise Scholderer)	1873	huile sur toile	31,6 x 40 cm	Londres, National Gallery	1875_02
#18398	Scholderer	B.124	Bildnis der Luise Scholderer (portrait de Louise Scholderer)	1873	huile sur toile	69 x 82 cm	Francfort-sur-le-Main, Städtische Galerie	1873_02 1875_02 1875_07 1875_08
#17552	Scholderer	B.125	Stilleben von toter Feldtaube und Wildente	1874	huile sur toile	67 x 48 cm	Collection particulière	1874_03
#17553	Scholderer	B.127	Austern mit Hummer (huîtres et homard)	1874			non localisé	1874_03
#17554	Scholderer	B.128	Stilleben mit Schinken (nature morte au jambon)	1874	huile sur toile	41 x 51 cm	Wuppertal, Von der Heydt-Museum	1874_03
#17555	Scholderer	B.129	Mittagsmahl (déjeuner)	1874	huile sur toile	83 x 74,5 cm	Berlin, collection particulière	1874_03
#17556	Scholderer	B.134	Reiher und Enten, Stilleben (héron et canards, nature morte  ; heron and ducks)	1870			non localisé	1875_02 1875_07
#17557	Scholderer	B.136	Grosses Jagdstilleben (grande nature morte au gibier)	1874	huile sur toile	87 x 114 cm	collection particulière non localisée	1874_07
#17558	Scholderer	B.137	Dead Game  ; Grouse (gibier mort  ; tétras)	1875			non localisé	1875_01
#17559	Scholderer	B.140	Porträt der Madame Morrison (portrait de Madame Morrison)	1875				1875_08 1876_01
#17560	Scholderer	B.143	Porträt der Miss Chermside (Portrait de Mrs Chermside)	1876			non localisé	1876_01 1876_03 1876_04
#17561	Scholderer	B.145	Stilleben eines Fasanenpaars auf hellem Grund über grünen Zweigen (nature morte d'une paire de faisans sur un fond clair au-dessus de branches de verdure)	1875	huile sur toile	133 x 70 cm	Collection particulière	1875_15 1875_17 1876_01
#17562	Scholderer	B.147	Jagdstilleben mit aufgehängtem Hasen und einer Ente (nature morte lièvre suspendu et canard)	1875	huile sur toile	95 x 61 cm	Collection particulière	1875_17 1876_01
#17466	Scholderer	B.15	Kopie nach Rembrandt (copie d'après Rembrandt)	1857	huile sur toile		non localisé	1858_03
#17564	Scholderer	B.150	Selbstbildnis (autoportrait)	1875	huile sur toile	96,5 x 76,5 cm	Francfort-sur-le-Main, Städelsches Kunstinstitut	1876_01 1876_02 1876_03 1876_04 1880_01 1880_02 1880_03 1880_04 1880_05 1880_07 1880_08 1880_09 1880_10
#17565	Scholderer	B.152	Porträt einer alten Dame, Mrs. White (portrait d'une femme âgée, Mrs. White)	1876			non localisé	1876_03 1876_04 1876_17
#17566	Scholderer	B.153	Dame am Strand  ; wohl Luise Scholderer in Littlehampton (dame à la plage, vraisemblablement Louise Scholderer à Littlehampton)	1872	huile sur bois d’acajou	26,3 x 34,2 cm	Francfort-sur-le-Main, Städelsches Kunstinstitut	1876_05
#17567	Scholderer	B.156	Dr. George Bird	1877			non localisé	1877_01 1877_03 1877_04
#17568	Scholderer	B.157a	Mrs Tom Plews	1877			non localisé	1876_03 1876_04 1877_01 1877_03 1877_04
#17569	Scholderer	B.158	Oswald Sickert	1876	huile sur toile	61 x 51 cm	Hambourg, Kunsthalle	1876_03 1876_04 1877_01 1877_03 1877_04 1879_08
#17570	Scholderer	B.159	Lesendes junges Mädchen mit weissem Hut, Kopf im Schatten (jeune femme au chapeau blanc lisant, le visage dans l'ombre)	1877			non localisé	1877_05 1877_07 1877_09 1878_01
#17467	Scholderer	B.16	Kopie nach Giorgion / Tizian, Fête Champêtre (copie d'après Giorgione / Titien, Fête champêtre)	1857	huile sur toile	104 x 129 cm	Francfort-sur-le-Main, Städelsches Kunstinstitut	1858_03 1858_05 1865_01 1871_02
#17571	Scholderer	B.160	Young Girl in a Fancy Costume (jeune femme costumée)	1878			non localisé	1878_01 1878_02 1878_05 1878_06
#17573	Scholderer	B.162	Wondering (étonnement)	1878			non localisé	1878_05 1878_06
#17574	Scholderer	B.163	Ein Eselreiter in den Dünen (garçon sur un âne dans les dunes)	1878	huile sur toile	24 x 32,8 cm	Francfort-sur-le-Main, Städelsches Kunstinstitut	1878_13 1878_15 1881_12
#18503	Scholderer	B.164	Eselreiter und Segelboot am Dünenstrand (garçon sur un âne et voilier sur une plage de dunes)	1878	huile sur toile	27,7 x 32,8 cm	Francfort-sur-le-Main, Städelsches Kunstinstitut	1878_13
#18504	Scholderer	B.165	Esel mit einem kleinen Mädchen (âne avec une petite fille)	1878			non localisé	1878_13
#17577	Scholderer	B.166	Düne und Strand mit zwei Fischerbooten (dune et plage avec deux bateaux de pêche)	1878	huile sur bois	24,5 x 38,5 cm	Francfort-sur-le-Main, collection particulière	1878_13
#17578	Scholderer	B.167	Dünenlandschaft mit drei Figuren staffiert (paysage de dune avec deux figures)	1878	huile sur bois	24 x 34,7 cm	Francfort-sur-le-Main, Städelsches Kunstinstitut	1878_13
#17579	Scholderer	B.168	Dünenlandschaft bei Heyst in Belgien (paysage de dunes près de Heist en Belgique)	1878	huile sur bois	23 x 34 cm	Francfort-sur-le-Main, galerie J.P. Schneider jr	1878_13
#17580	Scholderer	B.171	Portrait of a Lady - Flämische Bauersfrau in malerischer Nationaltracht (paysanne flamande en costume national)	1878	huile sur toile	58 x 48 cm	Collection particulière	1878_13 1879_02 1879_10 1879_11
#17581	Scholderer	B.172	Flämische Bauersfrau (paysanne flamande)	1878	huile sur toile	54 x 46 cm	non localisé	1878_13 1878_15
#17582	Scholderer	B.173	Porträt von zwei Mädchen in Wakefield (portrait de deux jeunes filles de Wakefield)	1878			non localisé	1878_13 1878_17
#17583	Scholderer	B.174	General Viscount Templetown (général vicomte Templetown)	1878	huile sur toile	140 x 100 cm	Collection particulière	1876_03 1876_04 1878_13
#17584	Scholderer	B.175	Kopie eines Porträts von 1856 (sic) in Frankfurt (Henriette Flersheim mit Händen) (copie d'un portrait de 1856 de Francfort (Henriette Flersheim aux mains))	1879	huile sur toile	44 x 39 cm	Eggersdorf, collection particulière	1878_15 1878_17 1878_19
#17585	Scholderer	B.176	Bildnis der Mutter des Künstlers (portrait de la mère de l'artiste)	1879	huile sur toile	49 x 43 cm	Francfort-sur-le-Main, Städelsches Kunstinstitut	1879_05
#17586	Scholderer	B.177	Porträt der Luise Scholderer (portrait de Luise Scholderer)	1879	huile sur toile	76,5 x 62 cm	Francfort-sur-le-Main, Städelsches Kunstinstitut	1873_02 1879_07 1879_10 1879_11
#17587	Scholderer	B.179	Mandolinenspielerin (joueuse de mandoline)	1879	huile sur toile	61 x 73 cm	non localisé	1879_13 1879_15
#17468	Scholderer	B.18	Selbstbildnis des 24jährigen Künstlers (autoportrait de l'artiste âgé de 24 ans)	1858	huile sur toile	46,5 x 38,5 cm	Collection particulière	1858_03
#17588	Scholderer	B.180	Mandolinenspielerin (joueuse de mandoline)	1880	huile sur toile	61 x 72 cm	non localisé	1879_15
#17589	Scholderer	B.184	Franceska	1881			non localisé	1880_07 1880_12 1880_19
#17590	Scholderer	B.185	Pussy's Breakfast (Le petit déjeuner du chat)	1881			non localisé	1880_05
#17591	Scholderer	B.186	Blondes Mädchen mit Katze - Mieze's Früstück (Jeune fille blonde avec un chat - le petit déjeuner du chat)	1880	huile sur toile	93 x 67 cm	Collection particulière	1880_05
#17592	Scholderer	B.188	Preparing for a Fancy Ball (Préparatifs pour le bal costumé)	1879	huile sur toile	150 x 210 cm	Francfort-sur-le-Main, collection particulière	1879_21 1879_22 1880_01 1880_02 1880_05 1880_06 1880_07 1880_09 1880_11 1880_12 1880_19
#17593	Scholderer	B.189	Man with Game (homme au gibier)	1880	huile sur toile	108 x 82,4 cm	Sheffield, Mappin Art Gallery	1880_01 1880_06 1880_07
#17469	Scholderer	B.19	Bildnis des Bankiers Heinrich Carl Wilhelm Müller (portrait du banquier Heinrich Carl Wilhelm Müller)	1858	huile sur toile	102 x 71 cm	Collection particulière	1858_05
#17594	Scholderer	B.190	Gemüseverkäuferin (marchande de légumes)	1880	huile sur toile	81 x 71 cm	Francfort-sur-le-Main, galerie J.P. Schneider jr	1880_07
#17596	Scholderer	B.193	The Village Patriarch (le patriarche du village)	1881	huile sur toile	74 x 63 cm	Francfort-sur-le-Main, collection particulière	1881_11 1881_12 1881_13
#17597	Scholderer	B.194	Peasant Girl / Bauernmädchen - Landmädchen (paysanne)	1881	huile sur toile	91 x 71 cm	Collection particulière	1880_15 1881_03 1881_04
#17598	Scholderer	B.195	Strickende (femme tricotant)	1881	huile sur toile	32,5 x 22,5 cm	Euerbach, Sammlung Georg Schäfer	1880_15
#17606	Scholderer	B.196	The Masqueraders / Die Maskierten - Vor dem Kostümball (Les costumés - avant le bal costumé)	1881	huile sur toile	137 x 183 cm	Euerbach, Sammlung Georg Schäfer	1881_03 1881_08 1883_04
#17608	Scholderer	B.198	Rebhühner (perdrix)	1881	huile sur toile	46 x 36 cm	Collection particulière	1881_12
#17609	Scholderer	B.199	Zwei tote Haselhühner (deux tétras morts)	1881	huile sur toile	50,7 x 33,6 cm	Francfort-sur-le-Main, Städelsches Kunstinstitut	1881_12
#17464	Scholderer	B.2	Teilkopie nach Ferdinand Bol, Bildnis eines älteren Herren (copie partielle d'après Ferdinand Bol, portrait d'un jeune homme)	1851	huile sur toile	42 x 54 cm	Francfort-sur-le-Main, Städelsches Kunstinstitut	1858_03
#17470	Scholderer	B.20	Bildnis der Susette Müller-Kolligs (portrait de Susette Müller-Kolligs)	1858	huile sur toile	102 x 71 cm	Collection particulière	1858_05
#17610	Scholderer	B.202	Homeward - Heimwärts - Heimkehr von der Ernte (retour des vendanges)	1881	huile sur toile	103 x 131 cm	Collection particulière	1880_15 1881_03 1881_04 1881_12
#17611	Scholderer	B.206	Fischputzende Magd (jeune femme nettoyant du poisson)	1881	huile sur toile	69,5 x 42,5 cm	Euerbach, Sammlung Georg Schäfer	1881_12 1881_13 1882_02
#17471	Scholderer	B.21	Hof eines Bauernhauses in Kronberg (cours d'une maison paysanne à Kronberg)	1859	huile sur toile	55 x 75 cm	Francfort-sur-le-Main, Städelsches Kunstinstitut	1859_03 1874_01 1877_02 1877_03 1877_04 1878_08 1879_06 1881_12 1896_10 1896_11 1901_05 1901_06
#17612	Scholderer	B.210	Jeune fille avec un plat de cerises ou Cherries / Kirschen	1882	huile sur toile	102 x 76 cm	Euerbach, Sammlung Georg Schäfer	1882_04 1882_05
#17613	Scholderer	B.211	Jessica	1882			non localisé	1881_12 1882_01
#17614	Scholderer	B.213	And beauty born of murmuring sound shall pass into her face / Und Schönheit geboren aus murmelndem Klang möge übergehn in ihr Gesicht (cité d’après le poème Lucy de William Wordsworth)	1883			non localisé	1881_12 1882_01
#19004	Scholderer	B.216	Fresh Herings! / Frische Heringe! (Harengs frais !)	1882	huile sur toile	88 x 67 cm	non localisé	1881_12 1883_04
#17616	Scholderer	B.217	Fine Yarmouth!	1882	huile sur toile	127 x 97 cm	Francfort-sur-le-Main, collection particulière	1881_12 1882_01 1882_02 1882_04 1882_05
#17617	Scholderer	B.225	The Last Chapter / Letztes Kapitel (le dernier chapitre)	1883	huile sur toile	76 x 74 cm	Collection particulière	1883_05 1884_01 1884_02 1884_03 1884_04 1884_05 1884_06 1884_07 1884_08 1884_09
#17618	Scholderer	B.226	The Last Chord / Verhallende Akkorde (le dernier accord)	1878	huile sur toile	101 x 124 cm	non localisé	1878_06 1883_02 1883_03
#17619	Scholderer	B.228	The Rheinmaiden / Die Rheintochter - die Quellennymphe (La fille du Rhin)	1882	huile sur toile	147 x 97 cm	Francfort-sur-le-Main, Städelsches Kunstinstitut	1884_09
#17620	Scholderer	B.231	Portrait	1885			non localisé	1884_01 1884_09
#17621	Scholderer	B.232	Portrait	1885			non localisé	1884_01 1884_09
#17622	Scholderer	B.233	Portrait der Madame Edwards (Portrait de Madame Edwards)	1884	pastel		non localisé	1884_12 1885_01
#17623	Scholderer	B.234a	Ophelia	1885	pastel		non localisé	1885_02
#17624	Scholderer	B.236	Junges Mädchen mit langem Haaren, Blumen in den Händen haltend	1880	huile sur toile	40 x 30 cm	non localisé	1885_02
#17625	Scholderer	B.237	Master of his horse	1884			non localisé	1884_01 1884_06
#17626	Scholderer	B.238	Hermann Magnus, Esq.	1884			non localisé	1884_06
#17627	Scholderer	B.243	Mutter und Kind (mère et enfant)	1884	huile sur toile	40 x 33 cm	Collection particulière	1884_10
#17628	Scholderer	B.244	Landschaft in Wiltshire (paysage du Wiltshire)	1884	huile sur papier	30,6 x 39,6 cm	Collection particulière	1884_10
#17630	Scholderer	B.247	Wiesenlandschaft (in Wiltshire) (paysage de prairie)	1884	huile sur carton	24 x 32,5 cm	non localisé	1884_10
#17631	Scholderer	B.248	An Odd volume / Der letzte Band (le dernier volume)	1885	pastel sur toile	73 x 61 cm	non localisé	1885_02 1885_03
#17632	Scholderer	B.249	Robert Collmann, Esq.	1885			non localisé	1885_02
#17633	Scholderer	B.250a	Miss Fanny Kingdon	1885			non localisé	1885_02 1885_03
#17634	Scholderer	B.252	Selbstbildnis (autoportrait)	1885	pastel sur papier	61 x 50,5 cm	Francfort-sur-le-Main	1884_10 1886_01 1886_02 1886_03 1886_04 1886_05 1901_06
#17635	Scholderer	B.257	Portrait d'Alfred Morrison	1887			non localisé	1886_05
#17636	Scholderer	B.258	W.H. Pole Carrew, Esq.	1886				1878_05 1878_06 1886_05
#17472	Scholderer	B.27	Selbstbildnis (autoportrait)	1859	huile sur toile	25,9 x 22,4 cm	Hambourg, Kunsthalle	1862_01 1880_06
#17637	Scholderer	B.274	An Embarassing Question / Eine unangenehme Frage (une question difficile)	1888			non localisé	1888_04
#17638	Scholderer	B.275	A Fishmonger / Ein Fischhändler (un marchand de poissons)	1887	huile sur toile	136,5 x 109,5 cm	non localisé	1887_02 1887_03 1887_04 1887_05 1888_06 1889_06
#17639	Scholderer	B.276	Fischhändler (marchand de poisson)	1887	huile sur toile	136,5 x 109,5 cm	non localisé	1887_04 1887_05 1889_06
#17640	Scholderer	B.279a	Italian Fisherman / Italienischer Fischer (pêcheur italien)	1888			non localisé	1888_04
#17473	Scholderer	B.28	Selbstbildnis mit Palette und Pinsel (autoportrait avec palette et pinceau)	1861	huile sur toile	34,4 x 25 cm	Francfort-sur-le-Main, Städelsches Kunstinstitut	1862_01
#17641	Scholderer	B.287	Still-life / Stilleben (nature morte)	1889			non localisé	1888_04
#17642	Scholderer	B.288	Portrait of Miss Breul (portrait de Miss Breul)	1889	pastel		non localisé	1888_04
#17643	Scholderer	B.289	The Larder / Die Speisekammer (le garde-manger)	1889			non localisé	1888_04
#17474	Scholderer	B.29	Selbsbildnis im Atelier (autoportrait dans l'atelier)	1862	huile sur carton	25 x 32 cm	Francfort-sur-le-Main, Städelsches Kunstinstitut	1862_01
#17644	Scholderer	B.292a	Man with Peacocks / Mann mit Pfauen - Geflügelhändler (homme avec des paons)	1888	huile sur toile	130 x 98 cm	non localisé	1888_04
#17465	Scholderer	B.3	Kopie nach Cornelis Janssens van Ceulen, Bildnis einer Dame aus dem 17. Jh. (copie d'après Cornelis Janssens van Ceulen, portrait de dame du XVIIe siècle)	1851	huile sur toile	78 x 62 cm	Francfort-sur-le-Main, Städelsches Kunstinstitut	1858_03
#17645	Scholderer	B.307	Geflügelhändler vor seinem Stand (marchand de volailles devant son stand)	1880	huile sur toile	55 x 45 cm	non localisé	1888_06
#17646	Scholderer	B.308	Wildbrethändler	1890	huile sur toile	62 x 50 cm	Francfort-sur-le-Main, galerie J.P. Schneider jr	1887_02
#17647	Scholderer	B.323	Pears (poires)	1892			non localisé	1892_01 1892_02
#17475	Scholderer	B.33	Knabe mit Ziege (jeune homme avec chèvre)	1862	huile sur bois	142 x 97 cm	Francfort-sur-le-Main, Städelsches Kunstinstitut	1862_02
#17476	Scholderer	B.34	Stilleben mit totem Reh (nature morte au chevreuil)	1861	huile sur toile	60 x 95 cm (autrefois 104 x 148 cm)	Suisse, collection particulière	1863_01 1865_01 1865_02 1865_04 1865_05 1865_06 1865_08 1865_13 1866_01
#17648	Scholderer	B.348	Bildnis des General William Booth, Begründer der englischen Heilsarmee (portrait du général William booth, fondateur de l'Armée du salut)	1891	pastel	66 x 55,9 cm	Nottingham, Castle Museum	1891_02
#17477	Scholderer	B.35	Kleines Selbstbildnis (petit autoportrait)	1863	huile sur toile	21,5 x 11,7 cm	Francfort-sur-le-Main, Städelsches Kunstinstitut	1863_01
#17650	Scholderer	B.359	At the Fishmonger's (chez le marchand de poisson)	1892	huile sur toile	73 x 116 cm	Winterthur, collection Oskar Reinhard	1892_01 1892_02
#17478	Scholderer	B.36	Stilleben mit abgenagtem Kalbsknochen (nature morte à l'os de veau rongé)	1863	huile sur bois	22,5 x 31 cm	Collection particulière	1863_01
#17651	Scholderer	B.361	Stilleben mit Seemuscheln, Heringen und Crevetten (nature morte avec coquillages, harengs et crevettes)	1890	huile sur papier	41 x 23,4 cm	Collection particulière	1890_01
#17652	Scholderer	B.364	Apples (pommes)	1893			non localisé	1892_01 1892_02
#17479	Scholderer	B.37	Frühstücksstilleben mit Schnapsglas (nature morte de petit déjeuner au verre de schnaps)	1863	huile sur toile	20 x 24,6 cm	Francfort-sur-le-Main, Städelsches Kunstinstitut	1863_01
#17653	Scholderer	B.371	Stilleben mit angeschnittener Melone und venezianischem Glas (nature morte à la tranche de melon et au verre vénitien)	1892	huile sur toile	34,5 x 50,5 cm	Collection particulière	1894_02
#17654	Scholderer	B.392	Melon	1895				1894_02
#17657	Scholderer	B.433	The Little Flowerseller / Die kleine Blumenverkäuferin (la petite marchande de fleurs)	1895	huile sur toile	93 x 127 cm	Collection particulière	1896_04 1896_11
#17480	Scholderer	B.47	Gemüseverkäuferin - Marché aux légumes / Gemüsemarkt (marchande de légume)	1864	huile sur toile	197 x 146 cm	non localisé	1865_01 1865_03 1865_05 1865_06 1865_08 1865_10 1865_12 1865_13 1866_01 1880_15 1888_06 1889_06
#18316	Scholderer	B.48	Jäger und Hirsch (chasseur et cerf)	1865	huile sur toile	197 x 146 cm	non localisé	1865_01 1865_03 1865_04 1865_05 1865_06 1865_10 1865_12 1865_13 1865_16 1867_03 1871_05 1873_02 1874_03
#17482	Scholderer	B.49	Stilleben mit Wild und Geflügel (nature morte avec gibier et volaille)	1865	huile sur toile	77 x 66 cm	collection particulière non localisée	1865_07 1865_10
#17483	Scholderer	B.50	Stilleben zur Dekoration eines Speisezimmers (natures mortes pour la décoration d'une salle à manger)	1865	huile sur bois	150 x 150 cm		1866_01
#17658	Scholderer	B.506	Junge Dame im Rohrstuhl, einen Brief lesend (jeune femme dans un fauteuil d'osier, lisant une lettre)	1871	huile sur toile	94 x 80 cm	non localisé	1871_02
#17484	Scholderer	B.51	Stilleben mit zwei Wildenten und einem Karpfen auf heller Steinbank (nature morte avec deux canards sauvages et une carpe sur un banc de pierre)	1865	huile sur toile	49 x 70,5 cm	Euerbach, Sammlung Georg Schäfer	1865_06
#17659	Scholderer	B.525	Porträt der alten Dame Henriette Flersheim († 1858) (portrait de la femme âgée Henriette Flersheim)	1859		ovale	Collection particulière	1858_04 1858_05
#17485	Scholderer	B.58	Haasenbub (le braconnier)	1867				1879_15
#17486	Scholderer	B.59	Knabe mit Hund und Wildbret (garçon avec chien et gibier)	1860	huile sur toile	32 x 17 cm	non localisé	1866_02
#17487	Scholderer	B.63	Stilleben mit totem Auerhahn (nature morte avec un coq de bruyère mort)	1867	huile sur toile	102 x 84 cm		1867_03
#17488	Scholderer	B.67	Stilleben mit Schnepfen und einem Hasen (nature morte avec bécasse et lièvre)	1867	huile sur toile	45,5 x 61 cm	Karlsruhe, Staatliche Kunsthalle	1867_03
#17489	Scholderer	B.68	Küchenstilleben mit Rehbock und junger Frau, die eine Ente rupft (nature morte de cuisine avec un chevreuil et une jeune femme plumant un canard)	1867	huile sur toile	100 x 80 cm	Francfort-sur-le-Main, galerie J.P. Schneider jr	1867_03
#17490	Scholderer	B.69	Küchenstilleben mit junger Frau (nature morte de cuisine avec une jeune femme)	1868	huile sur toile	93,5 x 132 cm	Düsseldorf, Stiftung Museum Kunstpalast	1867_03
#17491	Scholderer	B.72	Landschaft im Kinzigtal mit einem Paar Ochsen und Figuren, Haus im Hintergrund (paysage de Kinzigtal avec quelques bœufs et figures, une maison à l'arrière-plan)	1868			non localisé	1868_01
#17492	Scholderer	B.73	Viehstudien (étude de bétail)	1868			non localisé	1868_01
#17493	Scholderer	B.74	Jungvieh im Stall (jeune bétail dans l'étable)	1868	huile sur toile	74 x 101 cm	non localisé	1868_01
#17494	Scholderer	B.75	Landschaft im Kinzigtal (paysage de Kinzigtal)	1868			non localisé	1868_01
#17495	Scholderer	B.76	Landschaft, Abendstimmung im Kinzigtal (paysage, atmosphère du soir à Kinzigtal)	1868			non localisé	1868_01
#17496	Scholderer	B.79	Schwarzwaldmühle in Kirnbach bei Schiltach (moulin de la Forêt-Noire à Kirnbach près de Schiltach)	1868	huile sur toile	152 x 104 cm	Karlsruhe, Staatliche Kunsthalle	1868_01 1874_03 1879_15
#17497	Scholderer	B.81	Landschaft (paysage)				non localisé	1869_01
#17498	Scholderer	B.82	Stilleben (nature morte)				non localisé	1869_01
#17499	Scholderer	B.90	Stilleben mit Auerhahn und Fasan (nature morte avec coq de bruyère et faisan)	1869	huile sur toile	157 x 74 cm	non localisé	1879_15
#17500	Scholderer	B.93	Ein Hirsch im Wald (un cerf dans la forêt)	1869	huile sur toile	300 x 100 cm	non localisé	1869_01 1869_02 1872_04 1889_06
#17501	Scholderer	B.94	Blumenbinderin (bouquetière)	1870	huile sur toile	84 x 63,5 cm	Brême, Kunsthalle Bremen	1871_02
#17502	Scholderer	B.95	Kleiner Junge mit einem Blumenkorb auf den Knien (portrait d'un petit garçon avec une corbeille de fleurs sur les genoux)	1870			non localisé	1871_02
#17503	Scholderer	B.97	Schweizer Landschaft, Mühle mit Wasserfall und Bäumen (paysage suisse, moulin avec cascade et arbres)	1870	huile sur toile	84 x 64 cm	non localisé	1870_03
#17755	Fantin	F.1000	Roses	1880	huile sur toile	35 x 28 cm	non localisé	1880_15
#17757	Fantin	F.1004	Capucines doubles	1880	huile sur toile	62,8 x 42,5 cm	Londres, Victoria and Albert Museum	1880_12
#17786	Fantin	F.1015	La brodeuse	1881	huile sur toile	103 x 82 cm	Paris, collection particulière	1881_04 1881_08
#17787	Fantin	F.1016	Portrait d'Eva Callimaki Catargi	1881	huile sur toile	133 x 100 cm	Otterlo, Kröller-Müller Museum	1880_09 1880_10 1880_16 1880_17 1880_18 1880_19 1881_04 1881_07 1882_04
